Title,Company,Location,Tech
"Associate Data Scientist - MCCS Mason, OH",Macy's,"Mason, OH 45040",r 
Data Scientist,data245,"Bannockburn, IL",tensorflow 
Data Scientist,Vermont Mutual Insurance,"Montpelier, VT",
Data Scientist,National Security Agency,"Fort Meade, MD",
Data Scientist (Remote),Serial Metrics,"Middleton, WI",python 
Data Scientist,General Electric,"Dallas, TX",
Data Scientist,FPT Software,"Dallas, TX",hadoop 
Data Scientist,Pointman,"Buffalo, NY 14203",tableau 
Data Scientist,ISMIE Mutual Insurance Company,"Chicago, IL 60602 (Loop area)",excel 
Associate Data Scientist,Protective Life Corporation,"Birmingham, AL 35223",r 
Applied Data Scientist,UW Health,"Middleton, WI",sql 
Data Scientist Automation Engineer,Intel,"Albuquerque, NM 87114",python 
Data Scientist,McKesson,"Bannockburn, IL",
Data Scientist-Full time -Top clients--OPT-EAD- Best pay,Blue-E.,"Mason, OH 45040",r 
Data Scientist,University of California - Irvine,"Montpelier, VT",
Data Scientist,Amazon.com,"Middleton, WI",python 
Data Scientist Lombard Illinois,eQHealth Solutions,"Bannockburn, IL",
Data Scientist,Soho Square Solutions,"Montpelier, VT",hadoop 
Data Scientist,Grainger,"Chicago, IL 60602 (Loop area)",r 
Data Engineer/Data Scientist,CMYSolutions,"Bannockburn, IL",
Associate Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Birmingham, AL 35223",excel 
Data Scientist,MCR Labs,"Bannockburn, IL",python 
Data Scientist,Proofpoint,"Dallas, TX",cloud 
"Analyst, Data Scientist",MasterCard,"New Orleans, LA",
Data Scientist,JCPenney,"Valhalla, NY 10595",cloud 
"Intern, Data Science",Nielsen,"Middleton, WI",python 
Data Scientist Internship,Walmart Stores,"Montpelier, VT",
Data & Applied Scientist,Microsoft,"Fort Meade, MD",sql 
DBHi Data Scientist I,Children's Hospital of Philadelphia,"Birmingham, AL 35223",
"Data Analysis, Intern",Fiserv,"Bannockburn, IL",excel 
"Intern, Machine Learning",Autodesk,"Mason, OH 45040",tensorflow 
Data Scientist IPF3,E3 Federal,"Buffalo, NY 14203",cloud 
Jr. Data Scientist role,People Tech Group,"Dallas, TX",
"Data Scientist, Machine Learning Engineer","Telemed Solutions, Inc","Chino, CA 91710",matlab 
Senior Data Scientist,Southwest Airlines,"Charlotte, NC",nosql 
Data Scientist Intern/Coop,IBM,"Bannockburn, IL",cloud 
Sr. Data Scientist,"Levi, Ray & Shoup, Inc","Mason, OH 45040",python 
Top Secret Data Scientist,Deloitte,"Montpelier, VT",cloud 
Data Analyst / Data Scientist,SixLeaf,"Middleton, WI",r 
Jr. Data Scientist,People tech Group,"Chino, CA 91710",python 
Data Scientist / Data Analysis with Strong SQL/science,First Soft Solutions [ Direct],"Chicago, IL 60602 (Loop area)",r 
"Applied Data Scientist, Political",Civis Analytics,"Bannockburn, IL",python 
Data Scientist,上海冰鉴信息科技有限公司IceKredit,"Charlotte, NC",
Data Scientist,Digital First Media,"Dallas, TX",r 
Data Scientist,PepsiCo,"Bannockburn, IL",
Data Scientist,Brooks Bell,"Mason, OH 45040",sql 
Data Scientist - QuantumBlack,McKinsey & Company,"Montpelier, VT",r 
"Data Scientist – Secureworks - Columbia, MD or Remote",DELL,"Middleton, WI",r 
Data Scientist - Life Sciences,Argonne National Laboratory,"Buffalo, NY 14203",
Data Scientist,Hireology,"Mason, OH 45040",
Data Scientist,PACCAR,"Chicago, IL 60602 (Loop area)",sql 
Data Science Intern (Adversarial Machine Learning),"FireEye, Inc.","Bannockburn, IL",python 
Data Analyst/Scientist,OneMagnify,"Valhalla, NY 10595",sql 
"Data Scientist, Automated Benchmarking","Amazon.com Services, Inc.","Albuquerque, NM 87114",spark 
Data Scientist,Chime,"Bannockburn, IL",tensorflow 
Data Scientist / Analyst,LOCKHEED MARTIN CORPORATION,"Chicago, IL 60602 (Loop area)",
Data Scientist,1904labs,"Birmingham, AL 35223",python 
Jr. Data Scientist,EshaIT,"Middleton, WI",ai 
Data Scientist 1 Job,Novo Nordisk,"Dallas, TX",cloud 
Data Scientist I,Grubhub,"Buffalo, NY 14203",python 
Data Scientist,Amgen,"Mason, OH 45040",r 
Analytics Applications Manager,Fiat Chrysler Automobiles,"Bannockburn, IL",
AppleCare Data Scientist,Apple,"Chicago, IL 60602 (Loop area)",sql 
Data Scientist,IDC.Inc,"Mason, OH 45040",rdms 
Data Scientist,Driven Brands,"Montpelier, VT",r 
Data Scientist I,Baxters,"Middleton, WI",python 
Data Scientist,Swish Analytics,"Buffalo, NY 14203",python 
Data Scientist,Sleep Number,"Mason, OH 45040",cloud 
Data Scientist/Machine Learning Trainee,Norfolk Southern Corp,"Chicago, IL 60602 (Loop area)",
Data Scientist,Hi Fidelity Genetics,"Bannockburn, IL",r 
Principal Data Scientist,Stem IT,"Middleton, WI",java 
CORE - Data Scientist,Logic20/20,"Buffalo, NY 14203",r 
Senior Data Scientist,Avlino,"Chicago, IL 60602 (Loop area)",hadoop 
Junior Data Scientist,Viacom,"Dallas, TX",python 
Data Scientist I,Baxter,"Bannockburn, IL",python 
Data Scientist,AlliantRG,"Middleton, WI",r 
Data Scientist,Foxconn,"Mason, OH 45040",python 
Data Scientist,Republic Services,"Albuquerque, NM 87114",sql 
Data Scientist / Machine Learning Expert,SphereOI Studios,"Birmingham, AL 35223",python 
Siri - Data Scientist (Machine Learning & Natural Language),Apple,"Dallas, TX",python 
"Content Data Scientist, Apple Media Products Data Science",Apple,"Buffalo, NY 14203",sql 
Data Scientist Intern,Internet Brands,"Bannockburn, IL",r 
